GEO_ID,Geographic Area Name
NAME,Estimate Occupied housing units Occupied housing units
S2504_C01_001E,"Estimate Occupied housing units Occupied housing units UNITS IN STRUCTURE 1, detached"
S2504_C01_001M,"Estimate Occupied housing units Occupied housing units UNITS IN STRUCTURE 1, attached"
S2504_C01_002E,Estimate Occupied housing units Occupied housing units UNITS IN STRUCTURE 2 apartments
S2504_C01_002M,Estimate Occupied housing units Occupied housing units UNITS IN STRUCTURE 3 or 4 apartments
S2504_C01_003E,Estimate Occupied housing units Occupied housing units UNITS IN STRUCTURE 5 to 9 apartments
S2504_C01_003M,Estimate Occupied housing units Occupied housing units UNITS IN STRUCTURE 10 or more apartments
S2504_C01_004E,Estimate Occupied housing units Occupied housing units UNITS IN STRUCTURE Mobile home or other type of housing
S2504_C01_004M,Estimate Occupied housing units Occupied housing units YEAR STRUCTURE BUILT 2020 or later
S2504_C01_005E,Estimate Occupied housing units Occupied housing units YEAR STRUCTURE BUILT 2010 to 2019
S2504_C01_005M,Estimate Occupied housing units Occupied housing units YEAR STRUCTURE BUILT 2000 to 2009
S2504_C01_006E,Estimate Occupied housing units Occupied housing units YEAR STRUCTURE BUILT 1980 to 1999
S2504_C01_006M,Estimate Occupied housing units Occupied housing units YEAR STRUCTURE BUILT 1960 to 1979
S2504_C01_007E,Estimate Occupied housing units Occupied housing units YEAR STRUCTURE BUILT 1940 to 1959
S2504_C01_007M,Estimate Occupied housing units Occupied housing units YEAR STRUCTURE BUILT 1939 or earlier
S2504_C01_008E,Estimate Occupied housing units Occupied housing units ROOMS 1 room
S2504_C01_008M,Estimate Occupied housing units Occupied housing units ROOMS 2 or 3 rooms
S2504_C01_009E,Estimate Occupied housing units Occupied housing units ROOMS 4 or 5 rooms
S2504_C01_009M,Estimate Occupied housing units Occupied housing units ROOMS 6 or 7 rooms
S2504_C01_010E,Estimate Occupied housing units Occupied housing units ROOMS 8 or more rooms
S2504_C01_010M,Estimate Occupied housing units Occupied housing units BEDROOMS No bedroom
S2504_C01_011E,Estimate Occupied housing units Occupied housing units BEDROOMS 1 bedroom
S2504_C01_011M,Estimate Occupied housing units Occupied housing units BEDROOMS 2 or 3 bedrooms
S2504_C01_012E,Estimate Occupied housing units Occupied housing units BEDROOMS 4 or more bedrooms
S2504_C01_012M,Estimate Occupied housing units Occupied housing units COMPLETE FACILITIES With complete plumbing facilities
S2504_C01_013E,Estimate Occupied housing units Occupied housing units COMPLETE FACILITIES With complete kitchen facilities
S2504_C01_013M,Estimate Occupied housing units Occupied housing units VEHICLES AVAILABLE No vehicle available
S2504_C01_014E,Estimate Occupied housing units Occupied housing units VEHICLES AVAILABLE 1 vehicle available
S2504_C01_014M,Estimate Occupied housing units Occupied housing units VEHICLES AVAILABLE 2 vehicles available
S2504_C01_015E,Estimate Occupied housing units Occupied housing units VEHICLES AVAILABLE 3 or more vehicles available
S2504_C01_015M,Estimate Occupied housing units Occupied housing units TELEPHONE SERVICE AVAILABLE With telephone service
S2504_C01_016E,Estimate Occupied housing units Occupied housing units HOUSE HEATING FUEL Utility gas
S2504_C01_016M,"Estimate Occupied housing units Occupied housing units HOUSE HEATING FUEL Bottled, tank, or LP gas"
S2504_C01_017E,Estimate Occupied housing units Occupied housing units HOUSE HEATING FUEL Electricity
S2504_C01_017M,"Estimate Occupied housing units Occupied housing units HOUSE HEATING FUEL Fuel oil, kerosene, etc."
S2504_C01_018E,Estimate Occupied housing units Occupied housing units HOUSE HEATING FUEL Coal or coke
S2504_C01_018M,Estimate Occupied housing units Occupied housing units HOUSE HEATING FUEL All other fuels
S2504_C01_019E,Estimate Occupied housing units Occupied housing units HOUSE HEATING FUEL No fuel used
S2504_C01_019M,Estimate Percent occupied housing units Occupied housing units
S2504_C01_020E,"Estimate Percent occupied housing units Occupied housing units UNITS IN STRUCTURE 1, detached"
S2504_C01_020M,"Estimate Percent occupied housing units Occupied housing units UNITS IN STRUCTURE 1, attached"
S2504_C01_021E,Estimate Percent occupied housing units Occupied housing units UNITS IN STRUCTURE 2 apartments
S2504_C01_021M,Estimate Percent occupied housing units Occupied housing units UNITS IN STRUCTURE 3 or 4 apartments
S2504_C01_022E,Estimate Percent occupied housing units Occupied housing units UNITS IN STRUCTURE 5 to 9 apartments
S2504_C01_022M,Estimate Percent occupied housing units Occupied housing units UNITS IN STRUCTURE 10 or more apartments
S2504_C01_023E,Estimate Percent occupied housing units Occupied housing units UNITS IN STRUCTURE Mobile home or other type of housing
S2504_C01_023M,Estimate Percent occupied housing units Occupied housing units YEAR STRUCTURE BUILT 2020 or later
S2504_C01_024E,Estimate Percent occupied housing units Occupied housing units YEAR STRUCTURE BUILT 2010 to 2019
