county,prop_green,prop_crosswalk,prop_not_single_family_house,prop_single_lane,prop_triple_lane,prop_visible_wires,prop_sidewalk,prop_dilapidated_building
1001,0.969147697,0.005287686,0.08930812,0.677697616,0,0.343878831,0.085364761,0.083975623
1003,0.947017914,0.007764346,0.116094854,0.677067249,0,0.436140298,0.108644347,0.097182993
1005,0.978433148,0.004443564,0.102145364,0.665147741,0,0.277878411,0.04338843,0.071832899
1007,0.992821126,0.002093838,0.046021708,0.732843347,0,0.242073327,0.035595248,0.054354329
1009,0.972386181,0.002662319,0.115098857,0.674392207,0,0.358319231,0.032216123,0.087505675
1011,0.985539488,0.002224694,0.080422692,0.766240267,0,0.199054505,0.032202447,0.06868743
1013,0.993575293,0.000901713,0.035429817,0.833990833,0,0.18370529,0.020833333,0.053050797
1015,0.961236728,0.006756618,0.11003635,0.747797425,0,0.417257101,0.085145709,0.104511942
1017,0.981858941,0.00253492,0.110156924,0.765752716,0,0.278082428,0.038489395,0.077202966
1019,0.984609959,0.001001552,0.057511638,0.787529976,0,0.322951051,0.025391452,0.054591621
1021,0.97587216,0.00303177,0.072088764,0.781101964,0,0.328526012,0.051497989,0.074573131
1023,0.996691764,0.000513347,0.030002282,0.805897787,0,0.271560575,0.01976386,0.026551449
1025,0.987740149,0.002221197,0.06196273,0.753389488,0,0.34610281,0.044914325,0.042664282
1027,0.97783672,0.001753282,0.09054127,0.706122999,0,0.159953246,0.013172091,0.091575256
1029,0.898478424,0.001746071,0.17735096,0.668059366,0,0.203354951,0.010975306,0.145859317
1031,0.957067245,0.002951032,0.085427614,0.656385652,0,0.356656005,0.054489376,0.075222755
1033,0.932744894,0.009224645,0.132173763,0.699117342,0,0.478037383,0.100761509,0.117982001
1035,0.991069632,0.000754679,0.062361642,0.817971423,0,0.233447374,0.018917287,0.050437714
1037,0.995435016,0.002416756,0.05594343,0.681704261,0,0.21160043,0.015932689,0.057375582
1039,0.984393565,0.002906137,0.065701166,0.706351755,0,0.318824058,0.0386468,0.050736971
1041,0.987216495,0.000927835,0.046632302,0.713024055,0,0.251512027,0.018865979,0.045051546
1043,0.966534094,0.004448166,0.098526872,0.71849652,0,0.417578105,0.055536658,0.081597676
1045,0.970798215,0.003470501,0.07550818,0.719682697,0,0.360039663,0.048487853,0.061403074
1047,0.966618155,0.003168395,0.104223516,0.719392396,0,0.284897823,0.053589837,0.065626705
1049,0.959989212,0.001945638,0.10724124,0.82105912,0,0.412976055,0.030311495,0.089508967
1051,0.972447326,0.005621961,0.119800108,0.609147083,0,0.356074419,0.049719746,0.094864263
1053,0.938446586,0.004150806,0.165121082,0.772758565,0,0.396736049,0.047906374,0.086923949
1055,0.965537297,0.006024462,0.099160568,0.828459074,0,0.416330286,0.077996823,0.110853581
1057,0.982845885,0.003600666,0.069058052,0.769421516,0,0.25846666,0.035055539,0.048676925
1059,0.928481179,0.004237957,0.201131877,0.731797842,0,0.366438536,0.044985523,0.186707028
1061,0.967385863,0.002327793,0.081948338,0.724594513,0,0.320634762,0.036193432,0.066579896
1063,0.988360062,0.001681324,0.039705122,0.829216244,0,0.321132954,0.043391102,0.034273151
1065,0.985867215,0.002214839,0.044244054,0.835785477,0,0.314190793,0.045140537,0.04271476
1067,0.960719691,0.001074166,0.08454177,0.718348713,0,0.266954739,0.027562131,0.044577901
1069,0.93850636,0.010939807,0.157869524,0.664336621,0,0.413033914,0.086384389,0.096991798
1071,0.968512402,0.00300698,0.122631809,0.746837218,0,0.407967718,0.033637667,0.112068428
1073,0.933156336,0.013189215,0.176596558,0.760050631,0,0.387225946,0.197460076,0.205231901
1075,0.981137478,0.002756004,0.095780092,0.705143348,0,0.226421848,0.021117434,0.075879595
1077,0.956460881,0.004258141,0.138942095,0.70356564,0,0.360733756,0.054707529,0.104081332
1079,0.949599009,0.003586099,0.153550238,0.667536024,0,0.427104388,0.031753276,0.104159875
1081,0.975519445,0.004919386,0.092124751,0.713649444,0,0.362437053,0.080603868,0.090569591
1083,0.89776452,0.00418563,0.18443889,0.707100243,0,0.4624944,0.046867262,0.120333907
1085,0.986105393,0.00102923,0.055990119,0.694627419,0,0.208213256,0.020069988,0.074207493
1087,0.984548645,0.00238838,0.060099435,0.78348606,0,0.309222071,0.053178007,0.073649834
1089,0.859612268,0.011912068,0.215589545,0.716156037,0,0.49092826,0.225133362,0.224370171
1091,0.990439259,0.002707762,0.039446413,0.771712242,0,0.282509862,0.039780705,0.038276392
1093,0.959182264,0.003107949,0.172698391,0.751778438,0,0.31435182,0.033462256,0.125353961
1095,0.938765448,0.0056755,0.140009651,0.726369568,0,0.47951155,0.067329683,0.129225153
1097,0.956298297,0.009158334,0.114798024,0.764771765,0,0.43476094,0.191306818,0.119160156
1099,0.96218113,0.001281052,0.085106383,0.777208422,0,0.348863763,0.03623148,0.058538487
1101,0.918253164,0.014109496,0.177481131,0.675810146,0,0.467481507,0.250647741,0.153580414
1103,0.938534781,0.00956409,0.146989437,0.661611868,0,0.440139423,0.093855603,0.128966441
1105,0.987282588,0.00252478,0.047409762,0.807462128,0,0.289040584,0.055638676,0.042360202
1107,0.991466692,0.001885814,0.04125218,0.826670124,0,0.265852624,0.030573759,0.046579605
