Zip_Code,total_num,total_green,total_crosswalk,total_not_single_family_house,total_single_lane,total_triple_lane,total_visible_wires,total_sidewalk,total_dilapidated_building,prop_green,prop_crosswalk,prop_not_single_family_home,prop_single_lane,prop_triple_lane,prop_visible_wire,prop_sidewalk,prop_dilapidated_building
601,48,24,5,46,30,0,30,27,24,0.5,0.104166667,0.958333333,0.625,0,0.625,0.5625,0.5
602,596,239,5,475,267,0,479,499,207,0.401006711,0.008389262,0.796979866,0.447986577,0,0.803691275,0.837248322,0.347315436
603,1492,843,41,1007,711,0,1181,977,477,0.565013405,0.027479893,0.674932976,0.476541555,0,0.79155496,0.654825737,0.319705094
610,176,160,0,103,55,0,112,62,47,0.909090909,0,0.585227273,0.3125,0,0.636363636,0.352272727,0.267045455
612,532,324,16,342,233,0,352,292,187,0.609022556,0.030075188,0.642857143,0.437969925,0,0.661654135,0.54887218,0.351503759
617,36,17,0,34,26,0,21,23,13,0.472222222,0,0.944444444,0.722222222,0,0.583333333,0.638888889,0.361111111
622,304,220,12,183,186,0,214,197,89,0.723684211,0.039473684,0.601973684,0.611842105,0,0.703947368,0.648026316,0.292763158
623,452,382,1,182,289,0,302,249,142,0.845132743,0.002212389,0.402654867,0.639380531,0,0.668141593,0.550884956,0.314159292
624,112,87,0,73,61,0,61,38,47,0.776785714,0,0.651785714,0.544642857,0,0.544642857,0.339285714,0.419642857
627,52,38,3,35,26,0,40,31,13,0.730769231,0.057692308,0.673076923,0.5,0,0.769230769,0.596153846,0.25
631,8,7,0,2,8,0,2,0,0,0.875,0,0.25,1,0,0.25,0,0
637,28,20,3,21,6,0,13,15,15,0.714285714,0.107142857,0.75,0.214285714,0,0.464285714,0.535714286,0.535714286
638,118,49,1,92,69,0,88,88,23,0.415254237,0.008474576,0.779661017,0.584745763,0,0.745762712,0.745762712,0.194915254
641,14,6,0,12,6,0,7,11,10,0.428571429,0,0.857142857,0.428571429,0,0.5,0.785714286,0.714285714
646,2424,1686,30,1245,1743,0,1716,1706,729,0.695544554,0.012376238,0.513613861,0.719059406,0,0.707920792,0.70379538,0.300742574
647,8,8,0,0,8,0,0,4,4,1,0,0,1,0,0,0.5,0.5
650,12,5,0,9,4,0,12,12,3,0.416666667,0,0.75,0.333333333,0,1,1,0.25
653,104,73,0,62,82,0,62,50,33,0.701923077,0,0.596153846,0.788461538,0,0.596153846,0.480769231,0.317307692
656,104,100,1,44,42,0,34,23,47,0.961538462,0.009615385,0.423076923,0.403846154,0,0.326923077,0.221153846,0.451923077
659,156,89,8,115,71,0,123,79,47,0.570512821,0.051282051,0.737179487,0.455128205,0,0.788461538,0.506410256,0.301282051
660,120,71,0,90,47,0,78,43,41,0.591666667,0,0.75,0.391666667,0,0.65,0.358333333,0.341666667
662,2188,1429,30,1265,1074,0,1746,1218,592,0.653107861,0.013711152,0.578153565,0.490859232,0,0.797989031,0.556672761,0.270566728
664,4,4,0,2,2,0,2,0,2,1,0,0.5,0.5,0,0.5,0,0.5
667,26,5,0,25,17,0,8,8,15,0.192307692,0,0.961538462,0.653846154,0,0.307692308,0.307692308,0.576923077
669,208,173,11,75,117,0,135,98,65,0.831730769,0.052884615,0.360576923,0.5625,0,0.649038462,0.471153846,0.3125
674,336,186,10,258,137,0,232,170,162,0.553571429,0.029761905,0.767857143,0.407738095,0,0.69047619,0.505952381,0.482142857
676,84,64,1,65,36,0,75,56,19,0.761904762,0.011904762,0.773809524,0.428571429,0,0.892857143,0.666666667,0.226190476
677,1452,1239,1,480,1267,0,863,752,358,0.853305785,0.000688705,0.330578512,0.872589532,0,0.594352617,0.517906336,0.246556474
678,220,138,4,162,63,0,200,102,98,0.627272727,0.018181818,0.736363636,0.286363636,0,0.909090909,0.463636364,0.445454545
680,2801,1143,29,2162,1500,0,2232,2198,735,0.408068547,0.010353445,0.77186719,0.535523027,0,0.796858265,0.784719743,0.262406283
682,1806,1018,62,1305,924,0,1490,1391,601,0.563676633,0.034330011,0.722591362,0.511627907,0,0.825027685,0.77021041,0.332779623
683,104,36,0,91,75,0,36,55,26,0.346153846,0,0.875,0.721153846,0,0.346153846,0.528846154,0.25
685,48,45,0,13,29,0,29,8,10,0.9375,0,0.270833333,0.604166667,0,0.604166667,0.166666667,0.208333333
687,8,8,0,0,8,0,2,2,2,1,0,0,1,0,0.25,0.25,0.25
688,4,2,0,3,3,0,2,4,1,0.5,0,0.75,0.75,0,0.5,1,0.25
690,212,136,13,131,91,0,195,122,86,0.641509434,0.061320755,0.617924528,0.429245283,0,0.919811321,0.575471698,0.405660377
692,100,63,4,70,38,0,72,54,36,0.63,0.04,0.7,0.38,0,0.72,0.54,0.36
693,375,237,12,273,137,0,259,212,169,0.632,0.032,0.728,0.365333333,0,0.690666667,0.565333333,0.450666667
698,184,99,2,139,105,0,100,92,65,0.538043478,0.010869565,0.755434783,0.570652174,0,0.543478261,0.5,0.35326087
703,12,0,0,11,7,0,8,11,0,0,0,0.916666667,0.583333333,0,0.666666667,0.916666667,0
705,36,24,0,25,20,0,18,34,8,0.666666667,0,0.694444444,0.555555556,0,0.5,0.944444444,0.222222222
707,80,50,7,64,37,0,60,59,29,0.625,0.0875,0.8,0.4625,0,0.75,0.7375,0.3625
714,100,64,8,68,41,0,76,62,45,0.64,0.08,0.68,0.41,0,0.76,0.62,0.45
715,64,61,6,18,21,0,29,17,19,0.953125,0.09375,0.28125,0.328125,0,0.453125,0.265625,0.296875
716,5148,3644,72,3007,3884,0,3626,3846,1637,0.707847708,0.013986014,0.584110334,0.754467754,0,0.704351204,0.747086247,0.317987568
717,3765,2514,52,2399,2610,0,2572,2936,1086,0.667729084,0.013811421,0.637184595,0.693227092,0,0.68313413,0.779814077,0.288446215
718,12,6,0,12,10,0,6,6,6,0.5,0,1,0.833333333,0,0.5,0.5,0.5
719,20,15,0,15,19,0,10,20,0,0.75,0,0.75,0.95,0,0.5,1,0
720,14,4,0,14,13,0,3,8,1,0.285714286,0,1,0.928571429,0,0.214285714,0.571428571,0.071428571
723,64,23,1,49,28,0,47,49,21,0.359375,0.015625,0.765625,0.4375,0,0.734375,0.765625,0.328125
725,2628,1003,83,2259,1022,0,2097,2123,914,0.381659056,0.031582953,0.859589041,0.388888889,0,0.797945205,0.807838661,0.347792998
727,1800,1090,32,1092,1110,0,1198,1280,523,0.605555556,0.017777778,0.606666667,0.616666667,0,0.665555556,0.711111111,0.290555556
728,180,81,7,145,75,0,142,120,49,0.45,0.038888889,0.805555556,0.416666667,0,0.788888889,0.666666667,0.272222222
729,52,22,2,46,10,0,50,22,27,0.423076923,0.038461538,0.884615385,0.192307692,0,0.961538462,0.423076923,0.519230769
730,3192,1756,40,2362,2173,0,2090,2575,800,0.550125313,0.012531328,0.739974937,0.680764411,0,0.654761905,0.806704261,0.250626566
